Title,Manufacturer,Author,Qualifier,Year,ModelNo,Rarity,CartType,MachineType,LController,RController,MD5,HelpUri
11 Sprite Demo (Piero Cavina),,Piero Cavina,Homebrew,,,,,A2600NTSC,,,0685bd0bcb975ceef7041749a5454a48,
128-in-1 Junior Console (Chip 1) (64K),,,,,,,,A2600PAL,,,1862fca4f98e66f363308b859b5863af,
128-in-1 Junior Console (Chip 2) (64K),,,,,,,,A2600PAL,,,715dd9e0240638d441a3add49316c018,
128-in-1 Junior Console (Chip 3) (64K),,,,,,,,A2600PAL,,,0d6b974fe58a1bdd453600401c407856,
128-in-1 Junior Console (Chip 4) (64K),,,,,,,,A2600PAL,,,7f525b07bc98080cc8950f7284e52ede,
2 Pak Special - Dolphin - Pigs 'N' Wolf,HES,,,1990,,,,A2600PAL,,,8c8a26ed57870daba8e13162d497bad1,
2 Pak Special Black - Challenge - Surfing,HES,,,,,,,A2600PAL,,,fd7464edaa8cc264b97ba0d13e7f0678,
2 Pak Special Dark Blue - Planet Patrol - Wall Defender,HES,,,1990,,,,A2600PAL,,,72fd08deed1d6195942e0c6f392e9848,
2 Pak Special Green - Hoppy - Alien Force,HES,,,,,,,A2600PAL,,,ab434f4c942d6472e75d5490cc4dd128,
2 Pak Special Green - Hoppy - Alien Force,HES,,,,,,,A2600PAL,,,5b9c2e0012fbfd29efd3306359bbfc4a,
2 Pak Special Magenta - CaveBlast -City War,HES,,,1992,,,,A2600PAL,,,7f430c33044e0354815392b53a9a772d,
2 Pak Special Yellow - Star Warrior - Frogger,HES,,,1990,,,,A2600PAL,,,02a5fc90a0d183f870e8eebac1f16591,
2 Pak Special Yellow - Star Warrior - Frogger,HES,,,1990,,,,A2600PAL,,,4d2cef8f19cafeec72d142e34a1bbc03,
20 Sprites at Once Demo 1,,,,,,,,A2600NTSC,,,fa529ec88eca679f6d5fd0ccb2120e46,
20 Sprites at Once Demo 2,,,,,,,,A2600NTSC,,,7a93d0c029eaa72236523eedc3f19645,
20 Sprites at Once Demo 3,,,,,,,,A2600NTSC,,,6c449db9bbbd90972ad1932d6af87330,
20 Sprites at Once Demo 4,,,,,,,,A2600NTSC,,,bfa58198c6b9cd8062ee76a2b38e9b33,
20 Sprites at Once Demo 5,,,,,,,,A2600NTSC,,,d2d8c4f1ea7f347c8bcc7d24f45aa338,
2600 Collison Demo 1,,,,,,,,A2600NTSC,,,ad2e6bfb3b9b9b36ba8bf493ce764c49,
2600 Collison Demo 2,,,,,,,,A2600NTSC,,,777aece98d7373998ffb8bc0b5eff1a2,
2600 Digital Clock (Demo 1),,,,,,,,A2600NTSC,,,eada0dd61ce13f8317de774dc1e68604,
2600 Digital Clock (Demo 2),,,,,,,,A2600NTSC,,,3e5ca1afaa27c5da3c54c9942fec528b,
2600 Digital Clock (Demo 3),,,,,,,,A2600NTSC,,,f6efa00ae99aaf33e427b674bcfd834d,
2600 Digital Clock (V b1),,,,,,,,A2600NTSC,,,75e8d8b9e9c5c67c2226dbfd77dcfa7d,
2600 Digital Clock (V b2),,,,,,,,A2600NTSC,,,5e99aa93d0acc741dcda8752c4e813ce,
2600 Digital Clock (V x.xx),,,,,,,,A2600NTSC,,,62ffd175cac3f781ef6e4870136a2520,
2600 Digital Clock (V x.xx),,,,,,,,A2600NTSC,,,4faeb04b1b7fb0fa25db05753182a898,
2-in-1 - Freeway and Tennis,,,,,,,,A2600NTSC,,,94e3fbc19107a169909e274187247a9d,
2-in-1 - Frostbite and River Raid,,,,,,,,A2600NTSC,,,9c40bf810f761ffc9c1b69c4647a8b84,
2Pak Black - Challenge - Surfing,HES,,,,,,,A2600PAL,,,7732e4e4cc2644f163d6650ddcc9d9df,
32-in-1,Atari,,,,CX26163P,,M32N12K,A2600PAL,,,291bcdb05f2b37cdf9452d2bf08e0321,http://www.atariage.com/manual_html_page.html?SoftwareLabelID=899
3D Asteroids,Atari,,Prototype,,,,,A7800NTSC,,,4332c24e4f3bc72e7fe1b77adf66c2b7,
